Anime_ID,Title,Genres,Type,Episodes,Producers,Studios,Score
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,Bandai Visual,Sunrise,8.78
5,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,"Sunrise, Bandai Visual",Bones,8.39
6,Trigun,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",TV,26,Victor Entertainment,Madhouse,8.24
7,Witch Hunter Robin,"Action, Mystery, Police, Supernatural, Drama, Magic",TV,26,"TV Tokyo, Bandai Visual, Dentsu, Victor Entertainment",Sunrise,7.27
8,Bouken Ou Beet,"Adventure, Fantasy, Shounen, Supernatural",TV,52,"TV Tokyo, Dentsu",Toei Animation,6.98
15,Eyeshield 21,"Action, Sports, Comedy, Shounen",TV,145,"TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha",Gallop,7.95
16,Hachimitsu to Clover,"Comedy, Drama, Josei, Romance, Slice of Life",TV,24,"Genco, Fuji TV, Shueisha",J.C.Staff,8.06
17,Hungry Heart: Wild Striker,"Slice of Life, Comedy, Sports, Shounen",TV,52,Unknown,Nippon Animation,7.59
18,Initial D Fourth Stage,"Action, Cars, Sports, Drama, Seinen",TV,24,"OB Planning, Studio Jack",A.C.G.T.,8.15
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,"VAP, Shogakukan-Shueisha Productions, Nippon Television Network",Madhouse,8.76
20,Naruto,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,220,"TV Tokyo, Aniplex, Shueisha",Studio Pierrot,7.91
21,One Piece,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",TV,Unknown,"Fuji TV, TAP, Shueisha",Toei Animation,8.52
22,Tennis no Ouji-sama,"Action, Comedy, Sports, School, Shounen",TV,178,"Production I.G, Nihon Ad Systems",Trans Arts,7.9
23,Ring ni Kakero 1,"Action, Shounen, Sports",TV,12,Unknown,Toei Animation,6.38
24,School Rumble,"Comedy, Romance, School, Shounen",TV,26,"TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Studio Comet,7.94
25,Sunabouzu,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",TV,24,"GDH, Pony Canyon, CBC",Gonzo,7.42
26,Texhnolyze,"Action, Sci-Fi, Psychological, Drama",TV,22,"Group TAC, Rondo Robe, Fuji TV, Pioneer LDC",Madhouse,7.76
27,Trinity Blood,"Action, Supernatural, Vampire",TV,24,Unknown,Gonzo,7.32
28,Yakitate!! Japan,"Comedy, Shounen",TV,69,"TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Sunrise,7.95
29,Zipang,"Action, Military, Sci-Fi, Historical, Drama, Seinen",TV,26,"Marvelous, TBS",Studio Deen,7.51
30,Neon Genesis Evangelion,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",TV,26,"TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","Gainax, Tatsunoko Production",8.32
31,Neon Genesis Evangelion: Death & Rebirth,"Drama, Mecha, Psychological, Sci-Fi",Movie,1,"Movic, Sega, TV Tokyo Music, Audio Tanaka","Gainax, Production I.G",7.45
32,Neon Genesis Evangelion: The End of Evangelion,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Movie,1,"TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka","Gainax, Production I.G",8.51
33,Kenpuu Denki Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,"VAP, Hakusensha, Nippon Television Network",OLM,8.49
43,Koukaku Kidoutai,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,"Bandai Visual, Kodansha",Production I.G,8.29
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",OVA,4,Aniplex,Studio Deen,8.73
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",TV,94,"Aniplex, SME Visual Works, Fuji TV","Gallop, Studio Deen",8.31
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,"Samurai, Historical, Drama, Shounen",Movie,1,"Fuji TV, Sony Music Entertainment",Gallop,7.56
47,Akira,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",Movie,1,"Mainichi Broadcasting System, Kodansha, Toho",Tokyo Movie Shinsha,8.17
